iter	Passed	Remaining
398	1996	3007
399	1999	2999
400	2002	2990
401	2004	2981
402	2007	2973
403	2009	2963
404	2011	2954
405	2013	2946
406	2016	2938
407	2018	2928
408	2020	2919
409	2022	2910
410	2024	2901
411	2026	2892
412	2029	2885
413	2031	2875
414	2033	2866
415	2035	2857
416	2037	2848
417	2039	2839
418	2042	2832
419	2044	2823
420	2046	2814
421	2048	2805
422	2050	2797
423	2052	2788
424	2054	2779
425	2058	2773
426	2060	2765
427	2062	2756
428	2064	2747
429	2066	2738
430	2068	2730
431	2070	2722
432	2073	2714
433	2075	2706
434	2078	2699
435	2080	2691
436	2082	2683
437	2086	2676
438	2088	2668
439	2090	2660
440	2092	2652
441	2094	2644
442	2096	2636
443	2099	2628
444	2101	2620
445	2105	2615
446	2107	2607
447	2110	2600
448	2113	2593
449	2117	2587
450	2120	2581
451	2122	2573
452	2125	2566
453	2127	2558
454	2129	2550
455	2132	2544
456	2134	2536
457	2137	2529
458	2139	2521
459	2141	2513
460	2143	2506
461	2146	2499
462	2149	2493
463	2151	2485
464	2153	2478
465	2155	2470
466	2157	2462
467	2161	2456
468	2163	2449
469	2165	2442
470	2168	2435
471	2170	2428
472	2172	2421
473	2176	2414
474	2178	2407
475	2180	2399
476	2182	2392
477	2183	2384
478	2185	2377
479	2187	2370
480	2191	2364
481	2193	2357
482	2195	2350
483	2197	2342
484	2199	2335
485	2201	2328
486	2207	2325
487	2209	2318
488	2212	2311
489	2214	2304
490	2216	2297
491	2218	2290
492	2220	2283
493	2223	2277
494	2225	2270
495	2226	2262
496	2228	2255
497	2233	2251
498	2238	2247
499	2240	2240
500	2242	2233
501	2248	2230
502	2250	2223
503	2252	2216
504	2254	2209
505	2255	2202
506	2257	2195
507	2259	2188
508	2262	2182
509	2264	2175
510	2269	2171
511	2271	2164
512	2469	2344
513	2471	2336
514	2473	2329
515	2476	2322
516	2478	2315
517	2480	2307
518	2482	2300
519	2485	2293
520	2486	2286
521	2490	2280
522	2492	2273
523	2494	2265
524	2496	2258
525	2498	2251
526	2499	2243
527	2501	2236
528	2504	2229
529	2506	2222
530	2507	2214
531	2509	2207
532	2511	2200
533	2513	2193
534	2516	2187
535	2519	2181
536	2522	2174
537	2523	2167
538	2525	2160
539	2527	2152
540	2529	2145
541	2533	2140
542	2535	2133
543	2537	2126
544	2538	2119
545	2540	2112
546	2542	2105
547	2544	2099
548	2548	2093
549	2550	2086
550	2552	2079
551	2553	2072
552	2555	2065
553	2557	2058
554	2559	2052
555	2562	2046
556	2564	2039
557	2566	2032
558	2568	2026
559	2570	2019
560	2571	2012
561	2574	2006
562	2577	2000
563	2579	1994
564	2581	1987
565	2583	1981
566	2585	1974
567	2587	1968
568	2590	1961
569	2591	1955
570	2593	1948
571	2595	1941
572	2597	1935
573	2599	1928
574	2600	1922
575	2603	1916
576	2605	1910
577	2607	1903
578	2609	1897
579	2611	1890
580	2613	1884
581	2614	1878
582	2618	1872
583	2620	1866
584	2622	1860
585	2624	1853
586	2625	1847
587	2627	1840
588	2629	1834
589	2632	1829
590	2634	1823
591	2636	1816
592	2638	1810
593	2640	1804
594	2641	1798
595	2643	1791
596	2647	1787
597	2649	1781
598	2651	1775
599	2653	1768
600	2655	1762
601	2656	1756
602	2658	1750
603	2661	1745
604	2663	1739
605	2665	1733
606	2668	1727
607	2670	1721
608	2672	1715
609	2674	1709
610	2676	1703
611	2677	1697
612	2679	1691
613	2681	1685
614	2683	1679
615	2684	1673
616	2686	1667
617	2688	1662
618	2691	1656
619	2693	1650
620	2695	1645
621	2697	1639
622	2699	1633
623	2701	1627
624	2703	1621
625	2706	1616
626	2711	1613
627	2714	1607
628	2716	1602
629	2718	1596
630	2720	1590
631	2725	1587
632	2728	1581
633	2730	1576
634	2732	1570
635	2734	1564
636	2736	1559
637	2739	1554
638	2741	1548
639	2743	1543
640	2745	1537
641	2747	1532
642	2750	1526
643	2755	1523
644	2757	1517
645	2759	1512
646	2761	1506
647	2763	1501
648	2765	1495
649	2768	1490
650	2770	1485
651	2772	1479
652	2775	1474
653	2777	1469
654	2779	1463
655	2782	1459
656	2785	1454
657	2787	1448
658	2789	1443
659	2791	1437
660	2793	1432
661	2796	1427
662	2798	1422
663	2800	1417
664	2802	1411
665	2804	1406
666	2806	1401
667	2810	1396
668	2812	1391
669	2814	1386
670	2816	1380
671	2818	1375
672	2822	1371
673	2824	1366
674	2826	1361
675	2828	1355
676	2830	1350
677	2832	1345
678	2837	1341
679	2839	1336
680	2841	1331
681	2844	1326
682	2846	1321
683	2848	1316
684	2852	1311
685	2853	1306
686	2856	1301
687	2858	1296
688	2861	1291
689	2863	1286
690	2866	1281
691	2869	1277
692	2871	1272
693	2874	1267
694	2883	1265
695	2887	1261
696	2889	1256
697	2893	1251
698	2896	1247
699	2899	1242
700	2901	1237
701	2905	1233
702	2910	1229
703	2913	1224
704	2915	1219
705	2917	1214
706	2919	1209
707	2922	1205
708	2936	1205
709	2938	1200
710	2941	1195
711	2943	1190
712	2945	1185
713	2948	1181
714	2950	1176
715	2953	1171
716	2955	1166
717	2957	1161
718	2959	1156
719	2962	1152
720	2965	1147
721	2967	1142
722	2970	1138
723	2973	1133
724	2988	1133
725	2990	1128
726	2994	1124
727	2997	1119
728	2999	1115
729	3001	1110
730	3003	1105
731	3007	1101
732	3009	1096
733	3011	1091
734	3013	1086
735	3015	1081
736	3018	1077
737	3022	1072
738	3024	1068
739	3026	1063
740	3030	1059
741	3032	1054
742	3035	1049
743	3038	1045
744	3040	1040
745	3043	1036
746	3045	1031
747	3047	1026
748	3051	1022
749	3053	1017
750	3055	1013
751	3057	1008
752	3059	1003
753	3149	1027
754	3151	1022
755	3153	1017
756	3155	1012
757	3157	1008
758	3159	1003
759	3163	999
760	3165	994
761	3167	989
762	3169	984
763	3171	979
764	3173	974
765	3176	970
766	3179	965
767	3181	960
768	3183	956
769	3185	951
770	3186	946
771	3189	942
772	3191	937
773	3193	932
774	3196	928
775	3198	923
776	3200	918
777	3203	914
778	3206	909
779	3208	904
780	3210	900
781	3212	895
782	3214	890
783	3216	886
784	3219	881
785	3222	877
786	3224	872
787	3227	868
788	3229	863
789	3232	859
790	3234	854
791	3236	850
792	3238	845
793	3240	840
794	3242	836
795	3244	831
796	3248	827
797	3250	822
798	3252	818
799	3254	813
800	3256	809
801	3258	804
802	3262	800
803	3264	795
804	3266	791
805	3268	786
806	3270	782
807	3272	777
808	3275	773
809	3277	768
810	3279	764
811	3281	759
812	3283	755
813	3285	750
814	3287	746
815	3292	742
816	3294	737
817	3295	733
818	3297	728
819	3299	724
820	3301	719
821	3306	716
822	3309	711
823	3311	707
824	3314	702
825	3316	698
826	3319	694
827	3322	690
828	3324	685
829	3327	681
830	3330	677
831	3336	673
832	3339	669
833	3341	665
834	3344	660
835	3351	657
836	3354	653
837	3357	649
838	3360	644
839	3363	640
840	3365	636
841	3367	631
842	3370	627
843	3372	623
844	3374	618
845	3377	614
846	3379	610
847	3381	606
848	3383	601
849	3385	597
850	3388	593
851	3390	589
852	3394	584
853	3396	580
854	3398	576
855	3400	572
856	3402	567
857	3405	563
858	3407	559
859	3410	555
860	3414	551
861	3416	546
862	3420	543
863	3423	538
864	3426	534
865	3428	530
866	3430	526
867	3435	522
868	3438	518
869	3440	514
870	3443	509
871	3446	505
872	3450	502
873	3453	497
874	3456	493
875	3458	489
876	3461	485
877	3465	481
878	3467	477
879	3469	473
880	3471	468
881	3473	464
882	3475	460
883	3477	456
884	3480	452
885	3482	448
886	3484	443
887	3486	439
888	3488	435
889	3490	431
890	3493	427
891	3496	423
892	3498	419
893	3501	415
894	3503	411
895	3507	407
896	3509	403
897	3511	398
898	3513	394
899	3515	390
900	3517	386
901	3522	382
902	3524	378
903	3526	374
904	3528	370
905	3530	366
906	3532	362
907	3535	358
908	3537	354
909	3539	350
910	3540	345
911	3542	341
912	3544	337
913	3546	333
914	3549	329
915	3553	325
916	3555	321
917	3557	317
918	3560	313
919	3567	310
920	3570	306
921	3573	302
922	3576	298
923	3582	294
924	3585	290
925	3589	286
926	3592	282
927	3597	279
928	3599	275
929	3603	271
930	3610	267
931	3614	263
932	3619	259
933	3626	256
934	3630	252
935	3635	248
936	3642	244
937	3648	241
938	3651	237
939	3657	233
940	3660	229
941	3662	225
942	3665	221
943	3667	217
944	3670	213
945	3673	209
946	3676	205
947	3678	201
948	3682	197
949	3685	193
950	3691	190
951	3694	186
952	3698	182
953	3700	178
954	3702	174
955	3704	170
956	3706	166
957	3708	162
958	3711	158
959	3713	154
960	3715	150
961	3717	146
962	3719	142
963	3721	138
964	3723	135
965	3726	131
966	3728	127
967	3730	123
968	3732	119
969	3734	115
970	3736	111
971	3739	107
972	3741	103
973	3744	99
974	3746	96
975	3749	92
976	3751	88
977	3757	84
978	3759	80
979	3761	76
980	3763	72
981	3765	69
982	3768	65
983	3771	61
984	3773	57
985	3775	53
986	3778	49
987	3780	45
988	3783	42
989	3786	38
990	3789	34
991	3793	30
992	3795	26
993	3797	22
994	3799	19
995	3801	15
996	3803	11
997	3805	7
998	3807	3
999	3809	0
